begovoy,adr,okr,dist,uik,ent,flat,stage,post,unliv,lon,lat
http://gorod.mos.ru/index.php?show=objects&action=show&id=278858,Нижняя улица д.6,САО,Беговой,207,1,45,10,125040,3,37.577119,55.777023
http://gorod.mos.ru/index.php?show=objects&action=show&id=278859,Нижняя улица д.7,САО,Беговой,207,3,44,5,125040,1,37.5780186,55.7767273
http://gorod.mos.ru/index.php?show=objects&action=show&id=279228,Скаковая улица д.15 к.1,САО,Беговой,207,1,98,14,125040,NaN,37.572626,55.77851
http://gorod.mos.ru/index.php?show=objects&action=show&id=279229,Скаковая улица д.15 к.2,САО,Беговой,207,1,98,14,125040,NaN,37.572768,55.778923
http://gorod.mos.ru/index.php?show=objects&action=show&id=1359449,Беговая аллея д.5 к.1,САО,Беговой,208,4,73,5,125284,3,37.5633857,55.7822761
http://gorod.mos.ru/index.php?show=objects&action=show&id=278860,Беговая аллея д.5 к.2,САО,Беговой,208,1,58,12,125284,3,37.564225,55.782088
http://gorod.mos.ru/index.php?show=objects&action=show&id=278861,Беговая аллея д.5 к.3,САО,Беговой,208,1,57,12,125284,2,37.565039,55.781961
http://gorod.mos.ru/index.php?show=objects&action=show&id=278862,Беговая аллея д.7 к.2,САО,Беговой,208,1,72,9,125284,NaN,37.564303,55.781457
http://gorod.mos.ru/index.php?show=objects&action=show&id=278863,Беговая аллея д.9,САО,Беговой,208,1,72,9,125284,NaN,37.563107,55.781429
http://gorod.mos.ru/index.php?show=objects&action=show&id=278918,Скаковая аллея д.9,САО,Беговой,208,1,72,9,125284,1,37.5686002,55.7813951
http://gorod.mos.ru/index.php?show=objects&action=show&id=279225,Скаковая улица д.13 к.1,САО,Беговой,208,1,111,16,125040,2,37.571562,55.779092
http://gorod.mos.ru/index.php?show=objects&action=show&id=279226,Скаковая улица д.13 к.2,САО,Беговой,208,1,111,16,125040,1,37.5718559,55.779452
http://gorod.mos.ru/index.php?show=objects&action=show&id=279227,Скаковая улица д.14,САО,Беговой,208,3,59,5,125040,1,37.567084,55.78178
http://gorod.mos.ru/index.php?show=objects&action=show&id=279230,Скаковая улица д.18,САО,Беговой,208,4,80,5,125040,NaN,37.5673109,55.781287
http://gorod.mos.ru/index.php?show=objects&action=show&id=1446128,Скаковая улица д.18А,САО,Беговой,208,4,66,5,125040,5,37.567377,55.780733
http://gorod.mos.ru/index.php?show=objects&action=show&id=279232,Скаковая улица д.34 к.1,САО,Беговой,208,3,60,5,125040,3,37.5727721,55.7773774
http://gorod.mos.ru/index.php?show=objects&action=show&id=279233,Скаковая улица д.34 к.2,САО,Беговой,208,3,60,5,125040,4,37.5721293,55.7778924
http://gorod.mos.ru/index.php?show=objects&action=show&id=279234,Скаковая улица д.34 к.3,САО,Беговой,208,1,108,16,125040,2,37.5714204,55.7773765
http://gorod.mos.ru/index.php?show=objects&action=show&id=279235,Скаковая улица д.34 к.4,САО,Беговой,208,1,107,16,125040,3,37.571162,55.777108
http://gorod.mos.ru/index.php?show=objects&action=show&id=1445819,Скаковая улица д.4 к.1,САО,Беговой,208,2,40,5,125040,NaN,37.566252,55.782597
http://gorod.mos.ru/index.php?show=objects&action=show&id=1445820,Скаковая улица д.4 к.2,САО,Беговой,208,3,60,5,125040,NaN,37.566409,55.782232
http://gorod.mos.ru/index.php?show=objects&action=show&id=278843,Ленинградский проспект д.27,САО,Беговой,212,2,90,6,125284,21,37.566483,55.784128
http://gorod.mos.ru/index.php?show=objects&action=show&id=1445821,Скаковая улица д.5,САО,Беговой,208,5,199,14,125040,17,37.568053,55.782559
http://gorod.mos.ru/index.php?show=objects&action=show&id=1652151,Ленинградский проспект д.33 к.1,САО,Беговой,211,5,100,7,125284,13,37.560466,55.786452
http://gorod.mos.ru/index.php?show=objects&action=show&id=1399882,Ленинградский проспект д.33 к.10,САО,Беговой,211,1,24,6,125284,1,37.559695,55.785901
http://gorod.mos.ru/index.php?show=objects&action=show&id=278847,Ленинградский проспект д.33 к.3,САО,Беговой,211,2,48,7,125284,5,37.5608999,55.786991
http://gorod.mos.ru/index.php?show=objects&action=show&id=278849,Ленинградский проспект д.33 к.4,САО,Беговой,211,3,82,7,125284,5,37.559962,55.787249
http://gorod.mos.ru/index.php?show=objects&action=show&id=278850,Ленинградский проспект д.33 к.5,САО,Беговой,211,2,48,7,125284,4,37.559327,55.787664
http://gorod.mos.ru/index.php?show=objects&action=show&id=278851,Ленинградский проспект д.33 к.6,САО,Беговой,211,3,67,7,125284,2,37.558644,55.787532
http://gorod.mos.ru/index.php?show=objects&action=show&id=1399881,Ленинградский проспект д.33 к.7,САО,Беговой,211,3,60,5,125284,NaN,37.558651,55.786974
http://gorod.mos.ru/index.php?show=objects&action=show&id=278852,Ленинградский проспект д.33 к.8,САО,Беговой,211,3,60,5,125284,NaN,37.5594729,55.786623
http://gorod.mos.ru/index.php?show=objects&action=show&id=278853,Ленинградский проспект д.33 к.9,САО,Беговой,211,2,40,5,125284,1,37.558656,55.786454
http://gorod.mos.ru/index.php?show=objects&action=show&id=1473807,Ленинградский проспект д.33А,САО,Беговой,211,5,520,12,125284,NaN,37.557689,55.788417
http://gorod.mos.ru/index.php?show=objects&action=show&id=278854,Ленинградский проспект д.34,САО,Беговой,213,4,106,7,125124,3,37.56888,55.785776
http://gorod.mos.ru/index.php?show=objects&action=show&id=278855,Ленинградский проспект д.35,САО,Беговой,211,4,88,6,125284,NaN,37.553051,55.790452
http://gorod.mos.ru/index.php?show=objects&action=show&id=1445825,Скаковая улица д.7/21А,САО,Беговой,208,2,32,4,125040,NaN,37.568098,55.781844
http://gorod.mos.ru/index.php?show=objects&action=show&id=279259,1-й Боткинский проезд д.6,САО,Беговой,210,6,170,11,125284,9,37.5587469,55.783249
http://gorod.mos.ru/index.php?show=objects&action=show&id=278870,Беговая улица д.11,САО,Беговой,210,7,184,9,125284,21,37.556933,55.779463
